materia_id,materia_nombre,inscriptos,duracion_horas,dia,salones,capacidad_total,estado
151,"INT. AL DERECHO",4,2.0,5,"B01;B23;C11",349,OK
163,"MAQUINAS ELECTRICAS",4,2.5,8,"B01;Piso;B22",325,OK
185,"METALURGIA FISICA",4,4.0,0,"B01;C22",325,OK
197,"PATOLOGIA DE LAS ESTRUCTURAS",4,2.0,1,"A22",124,OK
199,"POTABILIZACION DE AGUAS",4,4.0,1,"501;703",82,OK
269,"TRANSPORTE POR CARRETERA",4,4.0,0,"B01;A22",347,OK
274,"CALCULO Y AJUSTE DE LAS OBSERVACIONES",4,4.0,9,"B01;115;303",339,OK
275,"GEODESIA GEOMETRICA",4,2.0,0,"B01",223,OK
3,"ADMINISTRACION DE OPERACIONES",3,2.5,1,"115;C22",142,OK
4,"AGRIMENSURA LEGAL 1",3,4.0,0,"B01;B11",273,OK
5,"AGRIMENSURA LEGAL 2",3,4.0,0,"B01;502",243,OK
10,"ANTENAS Y PROPAGACION",3,4.0,1,"725",20,OK
46,"DISEÑO CATASTRAL",3,4.0,1,"A01;B22",177,OK
99,"GESTION DE CALIDAD AMBIENTAL",3,4.0,1,"Piso",70,OK
120,"INGLES TECNICO",3,4.0,10,"B01;115;A21",335,OK
125,"INSTRUMENTACION Y CONTROL",3,3.0,2,"305",35,OK
134,"INT. A LA EVALUACION Y GESTION AMBIENTAL",3,4.0,2,"703",20,OK
147,"INT. A LA PREVENCION DE RIESGOS LABORALES",3,4.0,0,"B01;C11",248,OK
153,"INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.",3,4.0,0,"B01",223,OK
156,"LABORATORIO DE TECNOLOGIA DEL HORMIGON",3,4.0,2,"B12",141,OK
