materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
82,"FLUIDODINAMICA",39,4.0,21,12.0,"B21",39,OK
158,"LEGISLACION Y RELACIONES INDUSTRIALES",36,2.0,1,8.0,"B21",39,OK
61,"ELECTROTECNICA I",34,2.5,10,8.0,"31",35,OK
69,"ENERGIA 1- COMBUSTION",33,3.0,1,16.0,"305",35,OK
262,"TRANSFERENCIA DE CALOR Y MASA 1",32,4.0,13,8.0,"C21;309;722",51,OK
245,"TEORIA DE CIRCUITOS",30,3.0,1,16.0,"B11",50,OK
261,"TRANSFERENCIA DE CALOR 2",30,4.0,9,8.0,"B22",32,OK
77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",27,4.0,7,16.0,"311",29,OK
81,"FISICA TERMICA",27,3.5,1,12.0,"311",29,OK
250,"TEORIA DE LENGUAJES",27,4.0,1,8.0,"601",60,OK
118,"INGENIERIA LEGAL",26,4.0,10,8.0,"B22;703",52,OK
127,"INT. A LA CIENCIA DE MATERIALES",25,1.5,24,12.0,"116;722;B01;725",259,OK
228,"SEÑALES Y SISTEMAS",25,3.5,3,8.0,"C21",25,OK
285,"TOPOGRAFIA ALTIMETRICA",25,3.0,1,8.0,"722;705;A22;116",160,OK
263,"TRANSFERENCIA DE CALOR Y MASA 2",24,4.0,21,12.0,"703;B01",243,OK
165,"MAQUINAS PARA FLUIDOS I",21,3.0,12,8.0,"C21",25,OK
37,"COMPUTACION 1",20,3.0,23,8.0,"705",20,OK
278,"TOPOGRAFIA PLANIMETRICA",20,3.0,24,12.0,"705",20,OK
107,"HIDROLOGIA E HIDRAULICA APLICADAS",19,4.0,21,12.0,"727",20,OK
41,"CONTROL DE CALIDAD",18,4.0,1,15.5,"727",20,OK
115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",18,2.0,1,11.0,"B01",223,OK
223,"RESISTENCIA DE MATERIALES 1",18,4.0,14,11.5,"727;C21;705",65,OK
